course_id,title,true_category,true_category_zh,predicted_category,predicted_category_zh,predicted_confidence,true_class_probability,text_snippet
60b49deac0bb3035f1a6f885,高效閱讀、有效輸出－和閱讀人學習實踐知識的技術,humanities,人文,career-skills,職場技能,0.8196824044928716,0.030613203507181903,高效閱讀、有效輸出－和閱讀人學習實踐知識的技術 這堂課要告訴你高效閱讀、有效輸出的知識實踐做法，讓知識為你所用，不再書到用時方恨少，如果阿基米德説撐起地球靠一個支點，而改變你人生的將會是閱讀。 效率提升 更多人文 目標規劃 更多職場技能 目標執行高效快閃課 資料彙整
69d7717aad44360700fea7bf,資料變決策！AI × Python 自動化分析實戰,career-skills,職場技能,programming,程式,0.8174167317776191,0.05176235634399654,資料變決策！AI × Python 自動化分析實戰 本課程結合 AI 與 Python，帶領學員入門 AI 自動化分析技巧（不需程式碼經驗），從基礎的 Python 了解，到進階的資料處理、資料視覺化技巧，並引領進入更高階的商業模型建置技巧訓練。 透過 AI，完全不需撰寫任何程式碼，都可以依賴 AI
68b15d8a1f5988c932041079,親子溫柔對話：給大人的家庭情感教育第一課,humanities,人文,lifestyle,生活品味,0.7913924757545067,0.031054787774443277,親子溫柔對話：給大人的家庭情感教育第一課 家庭情感教育第一課：幫助家長與孩子建立健康關係的課程 現代家庭面臨許多情感與溝通的挑戰，如何讓孩子理解自己的情緒、建立健康的人際關係，成為家長關心的重要議題。台灣性別平等教育協會推出的「家庭情感教育第一課」，透過線上課程與兒童繪本，幫助家長與孩子一起學習健康
6268b478da3d7b000603eff6,動畫師危機百科！高生存率能力養成,career-skills,職場技能,design,設計,0.777536169685338,0.07118079280166718,動畫師危機百科！高生存率能力養成 從工具應用與專案控管、到資源發揮與合作溝通 讓你成熟執行所有專案；面對棘手狀況也能化險為夷 2D 動畫 獨立接案 After Effect
6221a5a8b82e9300073a24df,18 單元從零上手！百萬 TikToker 短影音入門課,career-skills,職場技能,marketing,行銷,0.6918962958668744,0.07831987853696765,18 單元從零上手！百萬 TikToker 短影音入門課 課程集結了百萬 TikToker 串串李川最精華的實戰經驗及心法，將大幅降低你自行摸索的成本，少走許多冤枉路，在短影音紅海中走出自己的風格。如果你已經在自媒體經營的路上，更可以借鏡這門課程的思維及布局，更快拓展個人品牌事業。 好友專屬 個人品
5e9c2c813b0256ad483ff17b,作品集必備！Mockup 模擬圖合成術,art,藝術,design,設計,0.6822027045301486,0.05831430573998998,作品集必備！Mockup 模擬圖合成術 將設計稿件透過好的 Mockup，更加生動真實的呈現在眾人的面前，本課程不只是能帶大家製作擁有個人特色的 Mockup，更要教大家透過設計脈絡整理自己的作品，讓作品能夠在眾多設計中脫穎而出！ 履歷撰寫 photoshop
5a3bc9bf110d8c001e577e75,穿越影像的魔幻世界 - PS 超現實合成後製教學,design,設計,photography,攝影,0.6808853572081829,0.07889117919115346,穿越影像的魔幻世界 - PS 超現實合成後製教學 Photoshop 合成後製教學課程，教你使用 PS 合成、後製出與眾不同的特色影像。課程將從 Photoshop 的操作開始，教你去背、合成等特效技巧，接著教你如何調整光線，替影像增添更強烈的風格，你也能使用 Photoshop 合成後製出讓人眼睛
61e6545d5cef550006ee6b84,【講座】傑哥開講！不只是小編的社群行銷職涯攻略｜OnlyTalk,career-skills,職場技能,marketing,行銷,0.6519655003257689,0.1446607471874348,【講座】傑哥開講！不只是小編的社群行銷職涯攻略｜OnlyTalk ❓ 社群行銷就只是做貼文的小編嗎？ ❓ 小編的薪水是不是都很低？ ❓ 小編升上去還是小編嗎？ FB 8 萬人社團「社群丼」、2020 橫掃 7 項社群大獎的超猛團隊「只要有人社群顧問」創辦人傑哥，即將帶來社群行銷職涯講座！ 社群行銷 
677781b9861c6277b90e1c0b,給設計師的作品攝影課｜用小製作拍出大作品,design,設計,photography,攝影,0.6123228611711445,0.13364570219533276,給設計師的作品攝影課｜用小製作拍出大作品 提案、秀作品時，想讓作品看起來更專業嗎？這時候有張好的作品照，絕對是關鍵助力！ 這是一堂給設計師的作品攝影課！教你用小製作拍出大作品！ 即便沒有專業的設備一樣可以拍出合適的商品照，跟著鄭鼎老師拍，其實一支手機也能搞定！ 攝影作品 商業攝影 攝影後製 靜態攝影
5a2170d5a6d4a5001ec3148d,用 Python 理財：打造小資族選股策略,programming,程式,finance-and-investment,投資理財,0.6049182607946171,0.15052797727074402,用 Python 理財：打造小資族選股策略 Python 理財課程，教你如何利用 Python 程式選股。學習 Python 選股技巧，利用量化投資穩定獲利，並透過程式減少看盤時間。製作專屬的選股機器人，只需每天按一個鍵，股票操作清單便能輕鬆入手！ 2023 年度霸榜課 Python 熱銷興趣85折
5cee252cea2d0500209c0b8e,職場必備的批判思考力：創意力篇,humanities,人文,career-skills,職場技能,0.6026682055014342,0.10058829822560068,職場必備的批判思考力：創意力篇 職場批判思考創意入門課程，教你運用哲學知識培養批判思考邏輯。課程將從日常對話出發，帶入不同的哲學思維，幫你培養富有創意的批判思考能力。 更多職場技能 更多人文
5cac9bd2d133060020f42ab4,職場必備的批判思考力：基礎篇,career-skills,職場技能,humanities,人文,0.6021003110706716,0.16241992440632766,職場必備的批判思考力：基礎篇 批判思考入門課程，針對社會人士、上班族所量身打造，從批判思考的基本概念開始，接著教你反駁、辯證、逆推等批判思考方法，教你分析時事與議題的基本技法，掌握職場必備的批判思考力！ 社會科學 更多職場技能
5dbf852ca4b1c600214d2b0f,YouTuber 的 36 堂課：讓你被更多人看到,career-skills,職場技能,marketing,行銷,0.6017142131421997,0.0685371510969478,YouTuber 的 36 堂課：讓你被更多人看到 YouTube 頻道經營課程，由阿滴英文和志祺聯手出擊，從 YouTube 頻道籌備、內容起步，到頻道經營心法與擴張、如何透過 YouTube 獲取收入，用最有系統的方式教你經營自己的 YouTube 頻道，朝百萬訂閱 YouTuber 邁進！ Y
60e67da88f992a0006529dc6,Excel Power BI 購物籃分析及視覺化實戰,programming,程式,marketing,行銷,0.5876740693196151,0.03306390386978285,Excel Power BI 購物籃分析及視覺化實戰 第一門以「Excel Power BI」結合「商品搭售分析」出發的資料視覺化課程，協助您找出各產品間的「關聯性規則」，從消費者購買機率的角度出發，將產品作不同的組合搭配，打造「產品組合推薦清單」，有效提高顧客成交率！ 數位行銷 行銷學習地圖 量化
58d21b6c27ea7d07005fffc1,PS 核心技法 | 調色技法完全講解篇,design,設計,photography,攝影,0.5680063128349985,0.10809704233935365,PS 核心技法 | 調色技法完全講解篇 給所有使用 PS 的攝影師或設計師，這堂課我們要完整理解數位色彩，從數位相機成像的概念到修圖製作最終輸出成品，經由這樣的過程，加上各個擊破的 PS 調色工具運用，相信你一定可以在有系統的 SOP 裡，得到前所未有的新觀念。 photoshop 影像創作
